"","text"
"9978","  happy   product due  sound quality  ki  recommend others  buy  one    looking within  kbut mrp   bucks   site   mentioned k   incorrect  felt disappointed  "
"9979","excellent sound quality touches   max possible intricacies  music "
"9980"," good sound bass quality   better  jbl csi cord    bit thicker "
"9981","quality   productis good sound quality  also good   great recieved original one  bought   rs   think  reasonable   product   comes  year warranty "
"9982","good "
"9983","   worth   inr better switch  apple earphone "
"9984"," headphone    bass lover otherwise good product  bass lover  would recommand sony mdrxbap "
"9985","  months  buying  costly headphoneand   right ear pod stopped workingwhat kind  stupid product  thisand    amazon fulfilled     durability "
"9986"," like sound quality   price  high   please decrease cost   everyone  buy  "
"9987"," like sound quality   price  high   please decrease cost   everyone  buy  "
"9988"," really one   best   price segment  good sound quality "
"9989","cable cracked near  jacklength adjuster snapped quite early "
"9990","good sound quality poor material quality "
"9991","timely delivery  good result "
"9992","awesome earphonesbass  awesome    veey comfortable  ear "
"9993"," headset  value  money sound reproduction  well balanced across frequency range  also   sony  jbl headset  similar price range sennheiser   better job  balancing "
"9994","sound quality good "
"9995"," best earphones till   used   surely feel  difference  qualityif  want quality    every instrument sound    perfect earphones "
"9996"," returned    quality  sounds  basemike  also  working properly "
"9997","  good product   range "
"9998"," really good bass   audio clarity  crystal clear really impressed   product "
"9999","left earphone stopped working   days "
"10000","  delicate easy wear  tear  outer reinforcements excellent quality  voice   delicate "
"10001"," tad expensive  good sound   iphone  android devices "
"10002","sound quality  good   built quality  worst "
"10003","  using  kast one year  happy  quality performance bass  much comfortable   put   ears  several hours   feel  problem    strongly recommend  music lovers "
"10004"," good  calls microphone damaged within one month  purchase "
"10005","nice product  sound  good "
"10006","  genuinely  great product provides enough noise cancellation  make people seem youre  busy   great sound quality     fence  buying      glad  bought  "
"10007","recieved  quickly absolutely amazing service loved  headphones   using  particular one forever great sound quality "
"10008","good bass compared  earphones  rs range happy "
"10009","   one year   still use  regularly highly recommended cost  bit high   "
"10010","amazing sound quality  thin cable  cable quality  good "
"10011","absolutely fantastic product "
"10012","good  rough use  satisfactory sound quality good immunity  twists "
"10013","sound quality  pretty goodbut build quality  little bit deficient "
"10014","super sound "
"10015"," clear music "
"10016","good   cost "
"10017"," got   deal price great head set amazing sound  useful part amazon offered  ever cheap price  feel   sound   two headsets "
"10018","still works good bass  music quality  amazing "
"10019","sound quality   good   unhappy   product   cost also  high "
"10020"," connected  l connector  button control provided  headset   working "
"10021","  gud quality   expectedi think    worthful  buy  product "
"10022"," sound quality  awesome  easily replaceable  damaged   two years warranty "
"10023"," product   base   huge treble makes singer sound louder  background music   able  make  effect   "
"10024"," seen good review   product   enhanced  budget  bit   bought    experience    good  expected however  sound quality  clear  bass   good "
"10025","  company  provide quality sound "
"10026"," good sound quality  expected longer battery lifetypical sennheiser product "
"10027","one side   earphone stop working    mnths  purchase thus affecting sound quality "
"10028","build quality  good sound  clear bass    good purist  try   dont think  headphone adds anything   original sound  mean  extra treble  extra bass "
"10029","everything  ok "
"10030","excellent  android phones  laptop  even also handy fm radio "
"10031","  best headphones    ever used  sound quality  awesome   bass   good "
"10032"," brought   amazon  cloudtail retailerthe product  simply awesome go   without  doubtbass clarity  beautiful two click  next song  three click  previous song   lumia  "
"10033"," go   balanced sound   use    hours "
"10034","fantastic quality "
"10035"," value  money best sound quality   get   price "
"10036","senhieser   master  headphones     masterpiece "
"10037","using   calling purposebest earphone  would recommend "
"10038","nice headphone lovely soundbuild quality   goodi like  "
"10039"," loud enough  bass quality poor  spend    buy apple earpods "
"10040","best  class dont go  others  "
"10041","really great product  using  since  year  issues "
"10042","  people    wanna enjoy  music  good head set definitely go   "
"10043","good quality sound  material used   poor quality rubber "
"10044","product fake quality  match upto  rs product "
"10045","pathetic product never buy  "
"10046","great product worth  price noise cancellation  great   find  right sized buds  may look flimsy    strong  durable "
"10047"," didnt get pouch   promised    regarding  quality  issues better   cx    mic "
"10048","good "
"10049","deepness  clearity  senhiz sound great  beats   enjoy bass   much  sweet bass  give u enough  sastifaction "
"10050","  name  enough   buy    eyes closed "
"10051","blossoms inside  ears  wonderful     call may   couldnt reduce  noise   music lovers  gamers  would  perfect choice  thank  amazon   early delivery "
"10052"," satisfied   productand    worth   amountwires   sensitivewe  handle  care "
"10053","  keep full volume  watching english movies  travelling getting ear painmain purpose   watch movies  commuting  office around  hoursmusic  ok  travelling "
"10054","hoping     better punching  bass  sound quality  compared   favorite cxbut  cx   better    terms  bass "
"10055"," excellent   compromise   sound qualityits bit delicate  handlebut  amazing product  worth purchase "
"10056","awesome quality also pricey "
"10057","bass  awesome  doesnt kill  frequenciesnoise isolation   perfectdefinitely worth  price "
